id;поступило;канал;категория;сотрудник;время_первого_ответа_мин;время_решения_мин;норматив_sla_мин;нарушен_sla;оценка_csat
REQ-0319;2026-08-17 10:02;Telegram;членство;Оператор Б;86;91;120;нет;5
REQ-0320;2026-07-26 12:57;лично;бронирования;Оператор Б;25;41;30;нет;3
REQ-0321;2026-07-11 19:52;MAX;гости;Оператор А;18;59;30;нет;5
REQ-0322;2026-07-13 20:12;почта;членство;Оператор Г;177;330;120;да;4
REQ-0323;2026-06-03 13:40;лично;членство;Оператор Б;9;380;120;нет;5
REQ-0324;2026-08-23 14:16;Telegram;благодарность;Оператор А;57;587;240;нет;
REQ-0325;2026-06-04 09:38;MAX;жалоба;Оператор В;8;42;30;нет;4
REQ-0326;2026-07-07 17:34;почта;бронирования;Оператор Б;7;62;30;нет;
REQ-0327;2026-06-05 12:46;почта;мероприятия;Оператор Б;45;65;60;нет;3
REQ-0328;2026-06-12 10:41;Telegram;членство;Оператор Б;13;23;120;нет;
REQ-0329;2026-08-05 10:07;Telegram;бронирования;Оператор В;1;6;30;нет;
REQ-0330;2026-07-10 11:52;почта;биллинг;Оператор А;59;158;60;нет;5
REQ-0331;2026-08-26 15:30;Telegram;мероприятия;Оператор Г;43;103;60;нет;
REQ-0332;2026-07-02 18:18;Telegram;бронирования;Оператор В;24;56;30;нет;2
REQ-0333;2026-08-10 19:41;Telegram;членство;Оператор Г;253;258;120;да;5
REQ-0334;2026-06-09 13:11;Telegram;навигация;Оператор Б;16;21;30;нет;1
REQ-0335;2026-08-28 14:38;Telegram;навигация;Оператор А;15;20;30;нет;
REQ-0336;2026-07-08 16:49;MAX;навигация;Оператор Б;15;95;30;нет;
REQ-0337;2026-06-14 19:42;Telegram;навигация;Оператор В;24;60;30;нет;
REQ-0338;2026-06-09 11:38;MAX;жалоба;Оператор Б;10;48;30;нет;
REQ-0339;2026-08-24 09:01;Telegram;гости;Оператор А;8;22;30;нет;4
REQ-0340;2026-06-14 20:20;почта;биллинг;Оператор Б;60;65;60;нет;5
REQ-0341;2026-08-13 12:12;лично;жалоба;Оператор Г;15;50;30;нет;4
REQ-0342;2026-07-20 18:43;лично;членство;Оператор А;9;298;120;нет;5
REQ-0343;2026-08-21 09:16;Telegram;жалоба;Оператор А;24;103;30;нет;
REQ-0344;2026-08-15 14:10;Telegram;гости;Оператор А;12;59;30;нет;2
REQ-0345;2026-08-12 11:27;MAX;гости;Оператор В;23;53;30;нет;5
REQ-0346;2026-08-21 18:00;Telegram;биллинг;Оператор В;58;248;60;нет;4
REQ-0347;2026-08-16 13:38;MAX;благодарность;Оператор Б;109;463;240;нет;
REQ-0348;2026-08-22 10:58;Telegram;навигация;Оператор Г;28;53;30;нет;
REQ-0349;2026-08-13 19:05;Telegram;благодарность;Оператор А;152;511;240;нет;
REQ-0350;2026-07-15 11:23;Telegram;мероприятия;Оператор Б;34;59;60;нет;
REQ-0351;2026-08-07 20:56;Telegram;бронирования;Оператор Б;12;58;30;нет;
REQ-0352;2026-06-19 19:59;Telegram;членство;Оператор В;23;257;120;нет;
REQ-0353;2026-06-11 20:57;почта;членство;Оператор А;73;273;120;нет;4
REQ-0354;2026-07-27 09:41;почта;членство;Оператор Г;124;557;120;да;
REQ-0355;2026-06-14 11:02;MAX;благодарность;Оператор Б;86;794;240;нет;3
REQ-0356;2026-08-08 11:47;Telegram;навигация;Оператор Б;9;45;30;нет;
REQ-0357;2026-07-25 12:04;лично;жалоба;Оператор Г;86;91;30;да;
REQ-0358;2026-06-17 10:23;Telegram;биллинг;Оператор Б;92;119;60;да;3
REQ-0359;2026-06-06 12:38;Telegram;биллинг;Оператор А;58;70;60;нет;3
REQ-0360;2026-08-14 12:17;почта;жалоба;Оператор В;20;80;30;нет;4
REQ-0361;2026-07-27 13:51;лично;мероприятия;Оператор А;32;174;60;нет;
REQ-0362;2026-07-10 18:34;лично;мероприятия;Оператор А;18;23;60;нет;4
REQ-0363;2026-07-25 21:18;Telegram;благодарность;Оператор А;176;380;240;нет;5
REQ-0364;2026-08-26 13:12;лично;навигация;Оператор Г;81;134;30;да;4
REQ-0365;2026-06-04 15:33;Telegram;гости;Оператор А;16;94;30;нет;5
REQ-0366;2026-08-15 14:21;Telegram;навигация;Оператор В;6;15;30;нет;5
REQ-0367;2026-06-06 17:20;MAX;гости;Оператор А;21;103;30;нет;
REQ-0368;2026-07-10 10:33;лично;благодарность;Оператор А;19;449;240;нет;5
REQ-0369;2026-08-26 17:07;Telegram;благодарность;Оператор Б;128;133;240;нет;3
REQ-0370;2026-08-05 16:21;MAX;членство;Оператор В;34;95;120;нет;
REQ-0371;2026-08-01 16:42;Telegram;мероприятия;Оператор Б;44;153;60;нет;4
REQ-0372;2026-07-14 14:38;почта;биллинг;Оператор Г;246;341;60;да;3
REQ-0373;2026-07-19 17:52;Telegram;благодарность;Оператор Б;164;322;240;нет;
REQ-0374;2026-08-06 20:58;MAX;благодарность;Оператор Б;93;271;240;нет;
REQ-0375;2026-06-01 16:27;Telegram;членство;Оператор А;68;421;120;нет;3
REQ-0376;2026-08-01 16:33;почта;жалоба;Оператор В;29;65;30;нет;
REQ-0377;2026-08-19 14:22;MAX;бронирования;Оператор А;26;43;30;нет;
REQ-0378;2026-06-03 14:24;Telegram;биллинг;Оператор А;65;185;60;да;1
REQ-0379;2026-08-06 11:52;Telegram;гости;Оператор А;3;65;30;нет;
REQ-0380;2026-06-07 12:28;Telegram;мероприятия;Оператор Г;105;110;60;да;
REQ-0381;2026-08-12 10:21;Telegram;благодарность;Оператор В;153;477;240;нет;
REQ-0382;2026-08-04 11:53;Telegram;жалоба;Оператор Б;21;83;30;нет;
REQ-0383;2026-08-07 10:26;MAX;мероприятия;Оператор А;45;150;60;нет;
REQ-0384;2026-08-03 18:14;Telegram;мероприятия;Оператор Г;98;285;60;да;
REQ-0385;2026-08-03 21:23;Telegram;бронирования;Оператор Г;45;114;30;да;3
REQ-0386;2026-06-15 19:48;Telegram;бронирования;Оператор Г;51;83;30;да;5
REQ-0387;2026-07-06 10:00;Telegram;биллинг;Оператор Г;69;104;60;да;
REQ-0388;2026-08-18 17:22;Telegram;членство;Оператор Г;327;632;120;да;3
REQ-0389;2026-08-25 13:33;лично;мероприятия;Оператор Б;24;54;60;нет;4
REQ-0390;2026-08-27 09:17;MAX;бронирования;Оператор Г;49;96;30;да;1
REQ-0391;2026-07-25 21:57;Telegram;благодарность;Оператор В;161;289;240;нет;
REQ-0392;2026-08-23 21:59;Telegram;навигация;Оператор Г;38;43;30;да;
REQ-0393;2026-08-03 09:07;почта;благодарность;Оператор Б;115;570;240;нет;1
REQ-0394;2026-08-05 13:19;Telegram;гости;Оператор В;9;77;30;нет;5
REQ-0395;2026-06-24 17:42;лично;биллинг;Оператор Б;98;313;60;да;2
REQ-0396;2026-07-10 19:42;Telegram;бронирования;Оператор А;39;46;30;да;1
REQ-0397;2026-07-04 12:58;Telegram;гости;Оператор В;7;42;30;нет;
REQ-0398;2026-08-05 20:08;MAX;жалоба;Оператор В;27;60;30;нет;3
REQ-0399;2026-07-09 12:52;Telegram;членство;Оператор А;137;232;120;да;1
REQ-0400;2026-08-19 19:57;лично;гости;Оператор А;19;66;30;нет;4
REQ-0401;2026-08-28 19:57;лично;биллинг;Оператор В;60;96;60;нет;5
REQ-0402;2026-08-24 20:10;почта;мероприятия;Оператор Б;43;185;60;нет;3
REQ-0403;2026-06-13 12:51;Telegram;биллинг;Оператор Б;138;206;60;да;5
REQ-0404;2026-06-22 20:04;лично;членство;Оператор В;42;148;120;нет;
REQ-0405;2026-08-22 09:29;лично;бронирования;Оператор Г;13;24;30;нет;3
REQ-0406;2026-08-25 09:31;MAX;членство;Оператор В;63;251;120;нет;4
REQ-0407;2026-07-28 09:36;почта;биллинг;Оператор Г;176;192;60;да;5
REQ-0408;2026-08-11 13:32;лично;гости;Оператор А;4;26;30;нет;5
REQ-0409;2026-08-12 21:33;Telegram;бронирования;Оператор Б;10;43;30;нет;
REQ-0410;2026-07-14 20:26;Telegram;навигация;Оператор Г;68;80;30;да;3
REQ-0411;2026-08-10 21:34;Telegram;членство;Оператор Г;239;440;120;да;1
REQ-0412;2026-07-27 18:17;MAX;гости;Оператор Г;37;72;30;да;3
REQ-0413;2026-06-15 15:38;лично;гости;Оператор А;16;82;30;нет;
REQ-0414;2026-08-11 19:30;лично;биллинг;Оператор В;100;157;60;да;1
REQ-0415;2026-06-17 20:46;Telegram;членство;Оператор А;73;196;120;нет;3
REQ-0416;2026-08-28 16:43;Telegram;благодарность;Оператор Г;367;662;240;да;1
REQ-0417;2026-06-11 20:33;лично;членство;Оператор Г;113;474;120;нет;5
REQ-0418;2026-07-28 13:00;Telegram;навигация;Оператор А;17;33;30;нет;
REQ-0419;2026-06-03 21:18;Telegram;благодарность;Оператор Г;415;840;240;да;2
REQ-0420;2026-07-08 10:35;Telegram;биллинг;Оператор Б;84;145;60;да;3
REQ-0421;2026-08-14 03:12;Telegram;жалоба;Оператор Б;0;0;30;нет;5
REQ-0422;2026-08-14 11:40;почта;биллинг;Оператор Г;2880;4320;60;да;1
REQ-0423;2026-07-02 15:20;MAX;бронирования;Оператор А;12;45;30;да;4
